Number of days: 1289
April 1 2020: 3.60%,
April 2 2020: 2.27%,
April 3 2020: -0.88%,
April 4 2020: 1.84%,
April 5 2020: -1.23%,
April 6 2020: 8.23%,
April 7 2020: -1.81%,
April 8 2020: 2.28%,
April 9 2020: -1.04%,
April 10 2020: -5.83%,
April 11 2020: 0.26%,
April 12 2020: 0.39%,
April 13 2020: -0.95%,
April 14 2020: 0.45%,
April 15 2020: -3.60%,
April 16 2020: 7.26%,
April 17 2020: -1.05%,
April 18 2020: 3.16%,
April 19 2020: -1.76%,
April 20 2020: -4.14%,
April 21 2020: 0.18%,
April 22 2020: 4.15%,
April 23 2020: 5.01%,
